IID	Ethnicity
HG01174	1000g_AMR
HG01176	1000g_AMR
HG01177	1000g_AMR
HG01182	1000g_AMR
HG01183	1000g_AMR
HG01187	1000g_AMR
HG01188	1000g_AMR
HG01190	1000g_AMR
HG01191	1000g_AMR
HG01197	1000g_AMR
HG01198	1000g_AMR
HG01200	1000g_AMR
HG01204	1000g_AMR
HG01205	1000g_AMR
HG01241	1000g_AMR
HG01242	1000g_AMR
HG01247	1000g_AMR
HG01248	1000g_AMR
HG01250	1000g_AMR
HG01251	1000g_AMR
HG01253	1000g_AMR
HG01254	1000g_AMR
HG01256	1000g_AMR
HG01257	1000g_AMR
HG01259	1000g_AMR
HG01260	1000g_AMR
HG01269	1000g_AMR
HG01271	1000g_AMR
HG01272	1000g_AMR
HG01275	1000g_AMR
HG01277	1000g_AMR
HG01280	1000g_AMR
HG01281	1000g_AMR
HG01284	1000g_AMR
HG01286	1000g_AMR
HG01302	1000g_AMR
HG01303	1000g_AMR
HG01305	1000g_AMR
HG01308	1000g_AMR
HG01311	1000g_AMR
HG01312	1000g_AMR
HG01323	1000g_AMR
HG01325	1000g_AMR
HG01326	1000g_AMR
HG01334	1000g_EUR
HG01341	1000g_AMR
HG01342	1000g_AMR
HG01344	1000g_AMR
HG01345	1000g_AMR
HG01348	1000g_AMR
HG01350	1000g_AMR
HG01351	1000g_AMR
HG01353	1000g_AMR
HG01354	1000g_AMR
HG01356	1000g_AMR
HG01357	1000g_AMR
HG01359	1000g_AMR
HG01360	1000g_AMR
HG01362	1000g_AMR
HG01363	1000g_AMR
HG01365	1000g_AMR
HG01366	1000g_AMR
HG01369	1000g_AMR
HG01372	1000g_AMR
HG01374	1000g_AMR
HG01375	1000g_AMR
HG01377	1000g_AMR
HG01378	1000g_AMR
HG01383	1000g_AMR
HG01384	1000g_AMR
HG01389	1000g_AMR
HG01390	1000g_AMR
HG01392	1000g_AMR
HG01393	1000g_AMR
HG01395	1000g_AMR
HG01396	1000g_AMR
HG01398	1000g_AMR
HG01402	1000g_AMR
HG01403	1000g_AMR
HG01405	1000g_AMR
HG01412	1000g_AMR
HG01413	1000g_AMR
HG01414	1000g_AMR
HG01431	1000g_AMR
HG01432	1000g_AMR
HG01435	1000g_AMR
HG01437	1000g_AMR
HG01438	1000g_AMR
HG01440	1000g_AMR
HG01441	1000g_AMR
HG01443	1000g_AMR
HG01444	1000g_AMR
HG01447	1000g_AMR
HG01455	1000g_AMR
HG01456	1000g_AMR
HG01459	1000g_AMR
HG01461	1000g_AMR
HG01462	1000g_AMR
HG01464	1000g_AMR
HG01465	1000g_AMR
HG01468	1000g_AMR
HG01474	1000g_AMR
HG01479	1000g_AMR
HG01485	1000g_AMR
HG01486	1000g_AMR
HG01488	1000g_AMR
HG01489	1000g_AMR
HG01491	1000g_AMR
HG01492	1000g_AMR
HG01494	1000g_AMR
HG01495	1000g_AMR
HG01497	1000g_AMR
HG01498	1000g_AMR
HG01500	1000g_EUR
HG01501	1000g_EUR
HG01503	1000g_EUR
HG01504	1000g_EUR
HG01506	1000g_EUR
HG01507	1000g_EUR
HG01509	1000g_EUR
HG01510	1000g_EUR
HG01512	1000g_EUR
HG01513	1000g_EUR
HG01515	1000g_EUR
HG01516	1000g_EUR
HG01518	1000g_EUR
HG01519	1000g_EUR
HG01521	1000g_EUR
HG01522	1000g_EUR
HG01524	1000g_EUR
HG01525	1000g_EUR
HG01527	1000g_EUR
HG01528	1000g_EUR
HG01530	1000g_EUR
HG01531	1000g_EUR
HG01536	1000g_EUR
HG01537	1000g_EUR
HG01550	1000g_AMR
HG01551	1000g_AMR
HG01556	1000g_AMR
HG01565	1000g_AMR
HG01566	1000g_AMR
HG01571	1000g_AMR
HG01572	1000g_AMR
HG01577	1000g_AMR
HG01578	1000g_AMR
HG01583	1000g_SAS
HG01586	1000g_SAS
HG01589	1000g_SAS
